Model,MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,Year,Origin,bore,stroke,compression-ratio
dodge aries wagon (sw),25.8,4,156,92,2620,14.4,1981,US,3.15,3.58,9
chevrolet citation,23.5,6,173,110,2725,12.6,1981,US,3.15,3.58,9.1
plymouth reliant,30,4,135,84,2385,12.9,1981,US,3.31,3.23,8.5
toyota starlet,39.1,4,79,58,1755,16.9,1981,Japan,3.03,3.11,9.6
plymouth champ,39,4,86,64,1875,16.4,1981,US,3.03,3.11,9.6
honda civic 1300,35.1,4,81,60,1760,16.1,1981,Japan,3.43,3.23,9.2
subaru,32.3,4,97,67,2065,17.8,1981,Japan,3.63,4.17,8.1
datsun 210 mpg,37,4,85,65,1975,19.4,1981,Japan,3.63,4.17,8.1
toyota tercel,37.7,4,89,62,2050,17.3,1981,Japan,3.54,2.76,11.5
mazda glc 4,34.1,4,91,68,1985,16,1981,Japan,3.03,3.15,9
plymouth horizon 4,34.7,4,105,63,2215,14.9,1981,US,3.03,3.15,9
ford escort 4w,34.4,4,98,65,2045,16.2,1981,US,3.03,3.15,9
ford escort 2h,29.9,4,98,65,2380,20.7,1981,US,3.03,3.15,9
volkswagen jetta,33,4,105,74,2190,14.2,1981,Europe,3.08,3.15,9
renault 18i,34.5,4,100,65,2320,15.8,1981,Europe,3.08,3.15,9.4
honda prelude,33.7,4,107,75,2210,14.4,1981,Japan,3.08,3.15,9.4
toyota corolla,32.4,4,108,75,2350,16.8,1981,Japan,3.08,3.15,9.4
datsun 200sx,32.9,4,119,100,2615,14.8,1981,Japan,3.08,3.15,9.4
mazda 626,31.6,4,120,74,2635,18.3,1981,Japan,3.39,3.39,8.6
peugeot 505s turbo diesel,28.1,4,141,80,3230,20.4,1981,Europe,3.39,3.39,8.6
volvo diesel,30.7,6,145,76,3160,19.6,1981,Europe,3.39,3.39,8.6
toyota cressida,25.4,6,168,116,2900,12.6,1981,Japan,3.39,3.39,8.6
datsun 810 maxima,24.2,6,146,120,2930,13.8,1981,Japan,3.39,3.39,22.7
buick century,22.4,6,231,110,3415,15.8,1981,US,3.39,3.39,8.6
oldsmobile cutlass ls,26.6,8,350,105,3725,19,1981,US,3.76,3.16,8
ford granada gl,20.2,6,200,88,3060,17.1,1981,US,3.43,3.64,22
chrysler lebaron salon,17.6,6,225,85,3465,16.6,1981,US,3.58,3.64,21.5
chevrolet cavalier,28,4,112,88,2605,19.6,1982,US,3.58,3.64,21.5
chevrolet cavalier wagon,27,4,112,88,2640,18.6,1982,US,3.58,3.64,21.5
chevrolet cavalier 2-door,34,4,112,88,2395,18,1982-1985,US,3.58,3.64,21.5
pontiac j2000 se hatchback,31,4,112,85,2575,16.2,1982,US,3.46,3.1,8.3
dodge aries se,29,4,135,84,2525,16,1982,US,3.46,3.1,8.3
pontiac phoenix,27,4,151,90,2735,18,1982,US,3.8,3.35,8
ford fairmont futura,24,4,140,92,2865,16.4,1982,US,3.8,3.35,8
amc concord dl,23,4,151,92,3035,20.5,1982,US,3.78,3.12,8
volkswagen rabbit l,36,4,105,74,1980,15.3,1982,Europe,2.97,3.23,9.4
mazda glc custom l,37,4,91,68,2025,18.2,1982,Japan,2.97,3.23,9.4
mazda glc custom,31,4,91,68,1970,17.6,1982,Japan,2.97,3.23,9.4
plymouth horizon miser,38,4,105,63,2125,14.7,1982-1985,US,3.03,3.39,7.6
mercury lynx l,36,4,98,70,2125,17.3,1982,US,3.17,3.46,7.5
nissan stanza xe,36,4,120,88,2160,14.5,1982,Japan,3.35,3.46,8.5
honda accord,36,4,107,75,2205,14.5,1982,Japan,3.58,3.86,7
toyota corolla,34,4,108,70,2245,16.9,1982,Japan,3.59,3.86,7
honda civic,38,4,91,67,1965,15,1982,Japan,3.59,3.86,7
honda civic (auto),32,4,91,67,1965,15.7,1982-1985,Japan,3.35,3.46,8.5
datsun 310 gx,38,4,91,67,1995,16.2,1982,Japan,3.35,3.46,8.5
buick century limited,25,6,181,110,2945,16.4,1982,US,3.17,3.46,7.5
oldsmobile cutlass ciera (diesel),38,6,262,85,3015,17,1982-1985,US,3.17,3.46,7.5
chrysler lebaron medallion,26,4,156,92,2585,14.5,1982,US,3.15,3.29,9.4
ford granada l,22,6,232,112,2835,14.7,1982,US,2.99,3.47,21.9
toyota celica gt,32,4,144,96,2665,13.9,1982,Japan,3.15,3.29,9.4
dodge charger 2.2,36,4,135,84,2370,13,1982-1985,US,3.15,3.29,9.4
chevrolet camaro,27,4,151,90,2950,17.3,1982,US,3.15,3.29,9.4
ford mustang gl,27,4,140,86,2790,15.6,1982-1985,US,3.15,3.29,9.4
vw pickup,44,4,97,52,2130,24.6,1982,Europe,3.15,3.29,9.4
dodge rampage,32,4,135,84,2295,11.6,1982-1985,US,3.15,3.29,9.4
ford ranger,28,4,120,79,2625,18.6,1982,US,3.15,3.29,9.4
chevy s-10,31,4,119,82,2720,19.4,1982,US,3.15,3.29,9.4
